Time,unit_Time,Cella_1,unit_1,Cella_2,unit_2,Cella_3,unit_3,Cella_4,unit_4,SG600_main,unit_main,SG600_temp,unit_temp
15.07766,s,0.0,mV,-3.25,mV,0.0,mV,-0.08,mV,1,mV,1,mV
15.17851,s,0.0,mV,-3.25,mV,0.0,mV,-0.07,mV,1,mV,1,mV
15.27997,s,0.0,mV,-3.25,mV,0.0,mV,-0.07,mV,1,mV,1,mV
15.38559,s,0.0,mV,-3.25,mV,0.0,mV,-0.07,mV,1,mV,1,mV
15.48705,s,0.0,mV,-3.25,mV,0.0,mV,-0.07,mV,1,mV,1,mV
15.58822,s,0.0,mV,-3.25,mV,0.0,mV,-0.07,mV,1,mV,1,mV
15.69216,s,0.0,mV,-3.25,mV,0.0,mV,-0.07,mV,1,mV,1,mV
15.79297,s,0.0,mV,-3.24,mV,0.0,mV,-0.07,mV,1,mV,1,mV
15.89406,s,0.0,mV,-3.24,mV,0.0,mV,-0.07,mV,1,mV,1,mV
15.99505,s,0.0,mV,-3.24,mV,0.0,mV,-0.07,mV,1,mV,1,mV
16.09598,s,0.0,mV,-3.24,mV,0.0,mV,-0.07,mV,1,mV,1,mV
16.2008,s,0.0,mV,-3.24,mV,0.0,mV,-0.07,mV,1,mV,1,mV
16.30258,s,0.0,mV,-3.24,mV,0.0,mV,-0.07,mV,1,mV,1,mV
16.40476,s,0.0,mV,-3.24,mV,0.0,mV,-0.07,mV,1,mV,1,mV
16.50616,s,0.0,mV,-3.25,mV,0.0,mV,-0.08,mV,1,mV,1,mV
16.60766,s,0.0,mV,-3.25,mV,0.0,mV,-0.08,mV,1,mV,1,mV
16.70904,s,0.0,mV,-3.25,mV,0.0,mV,-0.07,mV,1,mV,1,mV
16.81063,s,0.0,mV,-3.25,mV,0.0,mV,-0.07,mV,1,mV,1,mV
16.9131,s,0.0,mV,-3.25,mV,0.0,mV,-0.07,mV,1,mV,1,mV
17.01938,s,0.0,mV,-3.25,mV,0.0,mV,-0.07,mV,1,mV,1,mV
17.1209,s,0.0,mV,-3.25,mV,0.0,mV,-0.07,mV,1,mV,1,mV
17.23119,s,0.0,mV,-3.24,mV,0.0,mV,-0.07,mV,1,mV,1,mV
17.34188,s,0.0,mV,-3.24,mV,0.0,mV,-0.07,mV,1,mV,1,mV
17.4484,s,0.0,mV,-3.25,mV,0.0,mV,-0.08,mV,1,mV,1,mV
